elevation,slope,waterDistance,vegetationCoverage,rainfall,duration,rockType,landslide,debris_flow,barrier_lake,torrential_flood,water_logging
16.2,2.8,41,61,16,18.8,0,0,0,0,0,0
50,6.8,53,61,18,34.1,0,0,0,0,1,0
22.2,9,88,60,20,11.7,0,0,0,0,0,0
20,9.4,65,50,16,14.4,0,0,0,1,0,0
27.8,22.6,57,61,21,16.7,0,0,1,1,0,0
1716,11.9,8,51,36,3,0,0,0,0,1,0
2152,5.3,458,55,20,6,0,0,0,0,0,0
25.4,2.6,84,52,5,43.5,0,0,0,1,0,0
44.3,9,61,42,24,22.6,0,0,0,0,0,0
41.4,6.7,95,77,40,12.5,0,0,0,0,0,0
33.3,19.4,40,68,7,24.4,0,0,0,0,0,0
959,13.2,321,31,22,1,0,0,1,0,1,0
21.1,13.2,37,73,24,5.6,0,0,0,0,0,0
537,19.1,449,57,17,2,0,0,1,0,0,0
2230,22.4,234,35,8,1,0,0,1,0,0,0
25.5,5.6,51,60,14,14,0,0,0,0,0,0
41.1,20.1,84,62,0,5,0,0,1,1,1,0
27.5,22.2,84,62,9,10,0,0,0,0,0,0
1325,0.5,386,80,23,3,0,0,1,1,1,0
20,24.7,95,49,39,19,0,0,0,0,0,0
1291,11.8,205,69,16,5,0,0,1,0,0,0
16.3,10.6,38,40,23,23.3,0,0,1,0,0,0
997,4,563,47,11,4,0,0,0,0,0,0
18.2,20,48,34,8,23.1,0,0,0,0,0,0
25.2,18.6,83,57,15,25.5,0,0,0,0,0,0
34.6,15,89,69,23,27.6,0,0,0,0,0,0
25.3,15.6,30,33,15,15,0,0,0,0,0,0
46,9,93,53,4,17.9,0,0,0,1,0,0
23.9,17.5,48,71,28,13.3,0,0,0,1,0,0
32.4,12.6,55,80,12,30,0,0,1,1,0,0
21.4,7.4,63,43,25,11.2,0,0,0,0,0,0
971,4.8,367,74,8,3,0,0,1,1,1,0
39.3,18.2,71,46,12,41.7,0,0,0,1,0,0
45.1,9.6,30,43,30,40,0,0,0,0,0,0
44.5,22,51,77,10,42,0,0,0,0,1,0
1811,14.1,108,57,9,3,0,0,1,1,1,0
33.6,14.1,69,36,21,40,0,0,1,0,0,0
1270,13,300,58,29,5,0,0,1,1,1,1
39.8,25,64,33,29,5.7,0,0,0,1,0,0
19.5,4.7,30,67,22,32.7,0,0,0,0,0,0
1354,3,326,71,15,1,0,0,1,1,0,0
34.7,17.8,30,37,11,8.4,0,0,0,1,1,0
37.6,17.9,52,56,36,44,0,0,1,1,0,0
33.3,15.4,95,66,17,5.7,0,0,0,0,0,0
33,22.1,92,69,24,21.1,0,0,0,1,0,0
2224,20.8,76,37,16,3,0,0,1,1,0,0
998,17.5,455,48,32,4,0,0,0,0,1,0
793,22.1,158,50,1,4,0,0,0,0,1,1
41.6,8,66,79,26,13.1,0,0,0,0,0,0
1737,8.6,371,79,24,6,0,0,1,1,1,0
41.3,24.2,68,73,6,24,0,0,1,0,0,0
937,14.4,127,49,18,5,0,0,1,0,0,0
959,3.3,339,54,9,5,0,0,1,0,0,0
20.3,11.6,30,48,40,22,0,0,0,0,0,0
2300,22.5,32,50,18,4,0,0,1,0,0,0
2141,6.4,243,30,33,4,0,0,1,0,1,0
49.1,9.4,54,74,39,33,0,0,0,0,0,0
48.6,2.8,67,40,17,13.5,0,0,0,0,0,0
26.1,6.2,75,61,18,16.9,0,0,0,1,0,0
22.8,18.5,88,43,30,30.3,0,0,0,1,0,0
1762,7.5,73,45,22,4,0,0,1,1,1,0
1669,13.9,407,35,33,6,0,0,1,1,1,0
28.6,13.9,63,62,36,7.4,0,0,1,1,0,0
1952,1.7,319,41,4,4,0,0,1,0,0,0
368,11.3,88,74,14,1,0,0,1,0,1,0
44.9,2.1,94,41,35,15.4,0,0,0,0,0,0
29.1,17.3,53,33,6,40,0,0,0,0,0,0
21.7,6.6,34,68,18,25.3,0,0,1,0,0,0
29.6,21.5,41,63,34,30,0,0,0,0,0,0
23.2,10.7,30,55,33,32,0,0,0,1,0,0
26.3,21,86,64,22,14,0,0,0,0,0,0
1254,22.2,1500,46,22,4,0,0,0,0,0,0
50,15.4,95,39,2,7.4,0,0,1,1,0,0
50,7.3,95,78,3,9,0,0,0,0,0,0
328,6.1,165,43,1,4,0,0,0,0,0,1
42.2,9,40,61,15,19,0,0,0,0,1,0
37.7,7.4,81,36,28,50,0,0,0,0,0,0
1436,5.4,51,41,20,2,0,0,0,0,0,1
364,9,518,58,25,5,0,0,0,0,0,0
907,14.7,141,66,38,6,0,0,0,0,0,0
2390,7.5,312,73,16,3,0,0,1,0,0,0
15.5,11.9,44,35,19,16.8,0,0,1,0,0,0
2144,4.7,17,50,28,4,0,0,0,0,1,0
20.5,9.8,63,39,5,14.8,0,0,0,0,0,0
28,7.6,71,45,15,12.9,0,0,0,0,0,0
27.4,4.1,69,48,29,14.1,0,0,0,0,0,0
36.2,19.2,93,39,18,20,0,0,1,0,0,0
25.3,4.9,40,76,11,33.5,0,0,0,0,0,0
29.1,7.8,67,69,38,31.1,0,0,0,0,0,0
20,9.2,30,34,10,47.2,0,0,0,1,1,0
1509,11.6,319,57,12,2,0,0,1,1,1,0
1987,7,322,46,32,1,0,0,1,1,0,0
2139,15.6,169,64,8,2,0,0,1,0,0,0
2071,8.1,685,75,1,3,0,0,1,0,1,0
34,7.7,86,30,24,45,0,0,0,0,0,0
1199,11.2,121,47,27,3,0,0,1,1,1,1
33.8,2.6,76,53,4,7.2,0,0,0,0,0,0
1270,7.8,487,52,19,2,0,0,0,0,0,0
42.1,14.8,89,80,26,6.9,0,0,1,0,0,0
25.9,15.7,30,53,23,11.5,0,0,0,0,1,0
28.9,0.3,68,47,37,16.1,0,0,1,0,1,0
20,15.3,58,69,20,16.7,0,0,0,0,0,0
829,23.5,424,43,25,5,0,0,1,1,0,0
35.2,1.9,61,47,32,20,0,0,0,0,0,0
857,14.6,201,68,4,1,0,0,0,0,0,0
43.3,3.1,69,55,3,15.4,0,0,1,0,0,0
34.8,18.2,87,55,1,12.6,0,0,0,0,0,0
23.5,6.3,51,47,31,8.5,0,0,0,0,0,0
514,14.5,468,78,28,3,0,0,0,0,0,0
2143,1.5,49,33,35,6,0,0,1,1,1,0
1729,20.7,359,41,13,1,0,0,1,1,0,0
1398,8.8,277,71,35,5,0,0,1,0,0,0
41.5,2.4,79,69,21,24.6,0,0,0,0,0,0
1362,14.4,5,48,15,1,0,0,1,0,1,0
36.3,5.5,61,79,39,80,0,0,0,0,1,0
44.8,19.3,55,54,17,46,0,0,0,0,0,0
19.2,6.9,69,66,39,10.3,0,0,0,0,1,0
1922,8.2,167,32,23,2,0,0,1,1,0,0
1016,5.5,117,42,14,4,0,0,1,1,1,0
39.3,18.5,79,80,19,60,0,0,0,0,0,0
1688,10.2,186,34,22,3,0,0,0,0,1,0
2424,22.4,165,41,7,3,0,0,1,1,0,0
1411,24.7,518,49,38,1,0,0,0,0,0,0
21.6,18,55,49,1,13.8,0,0,1,1,0,0
10.7,13.5,73,38,13,18.5,0,0,0,0,1,0
42.4,3.7,77,57,4,24.8,0,0,0,0,0,0
1933,10,100,56,20,3,0,0,0,0,1,0
47.6,8.2,94,60,1,33.3,0,0,0,0,0,0
29.3,5.9,32,48,26,14,0,0,1,0,0,0
913,18.1,345,31,30,5,0,0,1,1,0,0
23.6,4.5,51,34,22,28.6,0,0,0,0,0,0
2256,23.8,260,58,35,3,0,0,0,0,0,0
31.9,2.5,77,49,13,13.8,0,0,0,1,0,0
846,13.5,110,69,16,2,0,0,1,0,0,0
2266,14.6,458,76,40,3,0,0,1,0,1,0
30.7,7.7,87,59,28,20.7,0,0,0,0,0,0
304,10,54,36,29,3,0,0,1,1,0,0
27.2,1.5,83,49,9,7.3,0,0,0,1,0,0
1699,0.8,12,55,24,6,0,0,1,1,1,0
1135,13.6,3,65,37,4,0,0,0,0,0,0
26.2,3.3,91,52,17,12.6,0,0,0,1,0,0
28.1,14.1,30,45,21,13.5,0,0,0,1,0,0
31,13.2,85,75,23,48,0,0,0,0,0,0
686,3.4,515,73,0,3,0,0,1,1,0,0
1527,20.7,722,40,6,5,0,0,0,0,0,0
1529,6.5,260,77,9,5,0,0,1,0,0,0
10,6,67,43,23,25.9,0,0,0,0,0,0
30.1,10.9,68,40,11,33.3,0,0,0,1,0,0
26.4,2.3,30,71,28,13,0,0,0,0,0,0
37.7,3.4,89,76,21,21.1,0,0,0,0,0,0
22.5,10.7,46,62,18,15.6,0,0,1,1,1,0
37.6,2.9,76,51,14,15.3,0,0,0,1,0,0
40.3,19.1,50,30,13,26.2,0,0,1,1,0,0
29.1,1.7,61,65,9,22.4,0,0,0,0,0,0
2159,14.8,214,78,5,4,0,0,0,0,1,1
50,5.9,72,39,16,37.1,0,0,1,1,0,0
15,14.5,63,68,12,22.9,0,0,1,1,0,0
783,23.7,162,68,7,6,0,0,1,1,1,0
30,6.5,40,40,29,25,0,0,0,0,0,0
33.9,12.7,79,49,24,11.5,0,0,1,0,0,0
731,3.9,169,46,33,3,0,0,0,0,0,1
27.4,6.8,64,48,37,41.8,0,0,0,0,0,0
1019,6.2,89,34,3,1,0,0,0,0,0,0
1350,20.5,178,58,37,6,0,0,1,0,1,0
43.9,8.9,62,57,28,21.1,0,0,0,0,0,0
32.3,11.8,81,49,3,30,0,0,1,1,1,0
41.1,13.4,80,80,15,15.6,0,0,1,0,0,0
47.1,7.5,68,34,22,5,0,0,0,0,1,0
1094,20.4,1500,48,32,6,0,0,1,1,0,0
36.2,21.5,60,48,17,10.1,0,0,0,0,0,0
35.4,19.3,56,41,10,22.2,0,0,0,0,0,0
11.6,9.7,30,45,9,16.2,0,0,0,0,0,0
1275,12.8,15,49,12,6,0,0,0,0,0,0
918,8.8,102,34,36,3,0,0,0,0,0,0
25.4,5,56,37,22,40,0,0,0,1,0,0
591,19.9,566,79,4,5,0,0,0,0,0,0
800,21.5,447,33,13,5,0,0,1,0,0,1
24.8,7.2,72,57,36,19.2,0,0,0,1,0,0
21.2,11.8,57,38,29,17.4,0,0,0,0,0,0
32.9,8,88,40,34,33.7,0,0,0,0,0,0
26,19.9,74,60,21,7.4,0,0,0,1,0,0
27.7,19,95,46,3,15.4,0,0,1,1,0,0
926,9.2,578,60,17,6,0,0,0,0,0,0
1120,19.6,67,35,36,4,0,0,0,0,0,0
28.6,5.4,54,38,20,20,0,0,0,1,0,0
24.1,17.3,62,76,39,32,0,0,0,0,0,0
17.7,13.7,51,37,28,14.8,0,0,0,0,1,0
23.2,22.4,40,31,8,38.3,0,0,0,0,0,0
949,5.2,74,46,8,6,0,0,0,0,1,0
33.2,24.2,40,44,11,11.1,0,0,1,0,0,0
2446,7.2,1481,63,17,5,0,0,1,1,1,0
12,18.5,52,53,35,14.7,0,0,0,0,0,0
885,22.2,72,56,24,3,0,0,1,0,0,0
48.5,4.5,55,35,34,34.1,0,0,0,1,0,0
21.2,23.2,52,62,2,34.7,0,0,0,0,0,0
28.2,10.2,46,50,19,23.5,0,0,0,1,0,0
819,20.8,680,61,32,3,0,0,0,0,0,0
17.8,17.7,30,47,4,21.9,0,0,1,1,0,0
2265,2.5,253,36,13,4,0,0,0,0,0,0
20.1,23.4,30,33,10,10.3,0,0,0,0,0,0
857,22,118,75,2,4,0,0,1,0,0,0
20.7,1.3,35,66,38,15.7,0,0,0,0,0,0
25.9,11.9,70,65,17,21.9,0,0,0,0,0,0
2243,9.2,3,43,5,3,0,0,0,0,1,0
41.2,2.5,64,32,13,35.3,0,0,1,1,0,0
2106,2.7,4,39,29,2,0,0,1,0,0,0
327,24.6,111,52,8,1,0,0,1,0,0,1
391,8.9,36,77,36,4,0,0,1,0,0,0
32.4,19.4,80,64,21,56.5,0,0,1,1,0,0
34.6,19.3,30,70,23,8.7,0,0,0,0,0,0
1476,19.7,44,63,21,6,0,0,1,1,1,0
43,3.1,44,36,3,40,0,0,0,0,0,0
19.1,18.9,47,78,30,18.9,0,0,0,0,0,0
35.2,24.1,51,57,6,10.7,0,0,1,1,0,0
716,14.1,129,50,2,6,0,0,1,0,1,0
40.4,4.4,95,67,6,40,0,0,0,0,0,0
43.7,9,73,74,4,34.5,0,0,0,0,0,0
927,22.4,32,38,13,5,0,0,0,0,0,0
360,17.9,12,49,6,1,0,0,1,1,1,0
1398,12.3,378,45,38,6,0,0,1,0,0,0
2297,10.4,247,30,37,1,0,0,1,0,0,0
38.3,11.1,40,75,31,36.4,0,0,1,0,0,0
1879,5.6,118,76,31,4,0,0,1,0,0,0
31.7,12.5,40,31,1,18.1,0,0,0,0,0,0
35.2,23.1,95,66,3,12.7,0,0,0,0,0,0
30,12,92,33,23,17.9,0,0,0,0,0,0
22.8,22.3,60,72,24,36,0,0,0,0,0,0
27,12.6,95,43,11,28.5,0,0,0,0,0,0
34.9,21,95,40,40,5.3,0,0,0,1,0,0
647,20.7,578,35,27,1,0,0,0,0,0,0
44.1,14.1,77,47,33,40,0,0,0,0,0,0
1190,22.4,732,58,6,2,0,0,0,0,0,0
790,2.8,66,69,9,4,0,0,1,0,0,0
47.2,2.3,57,61,26,20.5,0,0,1,1,1,0
29.2,19.1,40,37,12,24.5,0,0,0,0,0,0
763,20.7,15,36,7,5,0,0,0,0,0,0
28.9,0.3,95,31,26,38.8,0,0,0,0,0,0
17.2,10.2,54,36,33,10.3,0,0,0,1,0,0
42.5,11.5,63,37,5,5.1,0,0,0,0,0,0
924,6.4,131,51,34,5,0,0,0,0,1,0
16.7,6.5,30,39,25,6.7,0,0,1,1,0,0
1844,11.4,179,55,7,5,0,0,1,0,1,0
41.1,3,54,62,20,16.8,0,0,1,0,0,0
2149,13.2,264,58,3,2,0,0,1,1,1,0
22.5,20.4,60,54,14,32.7,0,0,0,0,0,0
1635,3.4,99,58,0,1,0,0,0,0,0,1
23.5,15.6,79,40,32,6.9,0,0,0,0,0,0
50,2.2,40,71,29,43.3,0,0,0,0,0,0
29.4,5.8,51,40,15,21.2,0,0,0,0,1,0
26,17.5,51,72,24,12.9,0,0,0,1,0,0
36.7,4.2,47,43,22,8.8,0,0,0,0,0,0
10.2,3,77,61,38,8.7,0,0,0,0,1,0
24.9,3,65,51,15,41.1,0,0,1,1,0,0
945,0.8,266,72,10,1,0,0,0,0,1,0
22.5,16.9,62,40,9,14.4,0,0,0,1,0,0
10,19.1,30,67,10,9,0,0,0,0,1,0
46.8,19,88,61,34,20.5,0,0,0,0,0,0
25.2,21.1,70,32,12,16.9,0,0,0,1,1,0
491,1.5,103,54,18,5,0,0,0,0,0,0
41.1,23.5,73,60,5,52.3,0,0,1,1,0,0
846,21.1,15,66,10,6,0,0,1,1,0,0
16,2.9,38,37,9,5.4,0,0,1,0,0,0
21.2,4.7,50,48,26,27.1,0,0,0,0,0,0
1918,8,0,41,7,4,0,0,1,0,1,0
25.5,13.2,43,40,7,61.7,0,0,0,1,0,0
1206,8.2,449,42,40,1,0,0,1,0,1,0
27.5,7.5,66,44,10,20,0,0,0,1,0,0
42,2.1,40,35,30,25.2,0,0,1,1,0,0
24.7,8.4,40,68,4,20,0,0,0,0,0,0
565,11.4,10,57,33,5,0,0,1,0,1,0
700,20.6,123,58,39,1,0,0,0,0,0,0
30.1,2.6,59,32,32,9.7,0,0,0,0,0,0
1648,18,389,54,10,1,0,0,1,1,1,0
27.4,20.8,47,33,4,7.7,0,0,0,0,0,0
30.7,17.5,95,75,10,50,0,0,0,0,0,0
20,0.9,79,79,37,80,0,0,0,0,0,0
2413,2.9,128,75,18,4,0,0,0,0,0,0
44.2,24.1,40,77,8,19.2,0,0,0,0,0,0
43.1,17.8,95,40,14,12.3,0,0,0,0,0,0
20,22.4,80,56,2,40,0,0,1,1,0,0
25.9,0.4,30,57,5,13.3,0,0,1,0,1,0
12.4,19.9,80,43,9,18.9,0,0,0,0,1,0
20,11.9,75,53,34,8.9,0,0,0,0,0,0
10.6,12.6,30,59,12,13.3,0,0,0,0,0,0
34.4,21.5,42,37,35,30.7,0,0,0,1,0,0
11.3,10,44,44,0,26,0,0,0,1,0,0
667,24.4,902,48,21,5,0,0,0,0,0,1
46.9,1,95,36,4,38.5,0,0,1,1,0,0
2285,9.2,966,36,6,1,0,0,0,0,0,0
839,1,276,67,17,4,0,0,0,0,0,0
33.5,6.6,63,68,16,11.8,0,0,0,0,0,0
36.5,9.7,30,47,37,22.2,0,0,0,0,0,0
2362,12.4,447,39,13,4,0,0,1,0,0,0
38.9,13.2,91,31,12,20,0,0,1,1,0,0
50,0.6,40,31,2,25.2,0,0,0,0,0,0
2003,3,277,65,7,4,0,0,0,0,1,0
1020,23.2,300,46,10,6,0,0,0,0,0,0
42.2,14.6,53,36,0,9.3,0,0,0,0,0,0
32.7,0.8,92,51,2,18.7,0,0,0,1,0,0
911,4.4,194,66,8,5,0,0,1,1,1,0
20,21.3,40,53,36,28.5,0,0,0,0,1,0
43,8.9,90,44,29,16,0,0,1,1,0,0
2419,8.7,226,52,11,2,0,0,0,0,0,1
42.6,23.1,65,78,11,40,0,0,1,1,0,0
24,13.3,60,56,22,10,0,0,0,0,0,0
2185,7.9,16,41,2,1,0,0,0,0,0,0
38.8,14.5,85,31,26,13.5,0,0,0,0,0,0
37.8,5.6,92,50,16,22.2,0,0,0,0,0,0
1296,0.4,409,73,22,3,0,0,1,0,0,0
20,19.6,94,77,0,9.6,0,0,0,1,0,0
829,16.6,292,62,7,4,0,0,0,0,0,0
20.9,19.2,69,40,24,29.4,0,0,0,0,0,0
1970,9.7,89,50,4,5,0,0,0,0,0,0
20.1,13.1,30,68,28,5,0,0,0,1,0,0
43.8,19.4,71,74,28,18.1,0,0,0,0,0,0
20.3,18.2,89,50,36,44,0,0,0,1,0,0
26.9,10.6,71,35,22,23.6,0,0,0,0,0,0
852,10.5,252,71,38,4,0,0,1,0,1,0
1738,19.2,534,48,15,2,0,0,1,0,1,0
22.6,0.7,87,43,32,22.5,0,0,0,0,0,0
1933,7,90,32,4,5,0,0,1,1,0,0
1862,22.9,702,78,2,4,0,0,0,0,0,0
609,22.4,41,79,6,1,0,0,0,0,1,0
1904,6.9,162,61,16,6,0,0,1,1,1,0
20,3.9,40,43,24,24,0,0,0,1,0,0
894,4.2,7,55,1,6,0,0,1,0,1,0
834,5.2,57,38,22,4,0,0,0,0,0,1
721,19.4,343,69,38,4,0,0,1,1,0,0
27.3,11.8,44,71,15,19,0,0,0,1,0,0
27.4,21.3,69,77,12,13.8,0,0,0,0,0,0
29.2,1,65,65,9,5,0,0,0,1,1,0
35.4,1.2,72,67,4,18.6,0,0,0,0,0,0
18.5,3.9,74,37,21,24.8,0,0,0,0,0,0
1773,23.6,492,56,8,6,0,0,0,0,0,0
946,1.7,161,64,24,6,0,0,1,1,1,0
44.1,7.3,90,38,16,11.1,0,0,1,0,0,0
1812,15.5,606,78,38,4,0,0,1,1,1,0
16.8,18.2,43,40,31,5,0,0,0,0,0,0
49.5,24.8,95,69,13,12.3,0,0,0,0,0,0
20.2,24.3,80,48,5,32.2,0,0,0,0,0,0
2135,22.3,694,37,29,4,0,0,0,0,0,0
24.4,13.5,64,74,26,20.7,0,0,0,1,0,0
18.9,21,43,74,2,24,0,0,0,1,0,0
44.5,11.3,94,40,35,11.4,0,0,0,0,0,0
36.3,6.3,55,54,28,65.5,0,0,0,0,0,0
44.2,20.6,77,72,33,28.6,0,0,0,0,0,0
1882,12.7,131,54,1,3,0,0,1,1,1,0
30.4,21.8,79,68,18,26.3,0,0,0,1,0,0
669,24.6,431,49,20,2,0,0,0,0,1,0
22.6,8.1,30,43,13,16,0,0,0,1,0,0
2352,12.6,65,59,31,1,0,0,1,1,1,0
1560,19.7,91,47,1,6,0,0,0,0,1,0
43.4,12,79,61,5,60,0,0,0,0,0,0
15.4,16.5,63,30,29,36.7,0,0,0,0,1,0
21.1,24,71,50,24,16.2,0,0,0,0,0,0
13.2,23.2,30,78,25,14.5,0,0,0,0,1,0
971,7,423,41,34,6,0,0,1,1,0,0
27.7,1.8,62,42,15,8.9,0,0,1,1,0,0
28.3,4.2,82,44,16,40,0,0,0,1,0,0
534,3.8,1500,57,21,6,0,0,0,0,0,1
1219,20.3,832,69,19,1,0,0,1,1,1,0
1918,19.2,286,60,9,4,0,0,1,0,0,0
510,24.2,212,41,25,2,0,0,0,0,0,0
1134,7.5,55,48,24,1,0,0,1,0,0,0
26.9,3.7,44,70,3,21.8,0,0,0,0,0,0
32,15.9,95,43,32,7.5,0,0,0,0,0,0
20.4,8.1,41,76,8,5.6,0,0,0,0,0,0
1714,1.9,67,72,1,1,0,0,1,1,1,0
12.1,12.7,69,51,21,11.3,0,0,0,0,0,0
46.4,2.1,63,73,21,25,0,0,0,0,0,0
32.8,17.8,40,47,7,50,0,0,0,1,0,0
2277,20.2,272,57,7,4,0,0,1,1,1,0
21.6,1.9,30,58,5,23.5,0,0,0,0,0,0
25.3,2.8,40,61,28,9.9,0,0,0,0,0,0
845,3.1,644,35,39,6,0,0,1,0,0,0
34.7,2.7,90,48,15,9.9,0,0,0,0,0,0
29.8,4,51,74,37,20,0,0,1,1,0,0
924,2.9,510,59,23,2,0,0,0,0,0,0
22.9,6.6,74,46,37,15.7,0,0,0,1,0,0
42.9,23.5,68,68,9,18.4,0,0,1,1,0,0
50,7.7,59,61,32,14.4,0,0,1,1,0,0
2294,2.4,5,74,0,6,0,0,1,1,1,0
22.7,20.4,46,70,37,9.7,0,0,0,1,0,0
28.4,15.8,95,68,17,13.7,0,0,0,1,0,0
37.5,22.4,83,51,3,6,0,0,1,1,0,0
22.8,21.4,95,44,29,14.7,0,0,0,1,0,0
20,8.5,40,39,34,47.3,0,0,0,1,0,0
31.7,21.2,95,54,4,22.2,0,0,0,0,0,0
2467,1.7,37,60,39,1,0,0,0,0,1,0
40.6,17.5,30,73,28,11.6,0,0,1,0,0,0
16.2,10.2,30,47,5,26,0,0,1,1,0,0
37.7,6.5,51,41,19,11.6,0,0,1,0,1,0
30.4,9.5,55,61,21,11.3,0,0,0,0,0,0
770,13.9,954,45,3,6,0,0,0,0,0,0
37.7,20.5,40,63,35,25.4,0,0,0,0,0,0
24.6,9.9,61,55,23,9.1,0,0,0,1,1,0
27.1,11.6,40,80,24,21.3,0,0,0,1,0,0
18.1,13.7,61,61,18,18.3,0,0,1,1,0,0
25.8,13.1,92,68,37,35.6,0,0,0,0,0,0
14,3.4,59,73,24,11.1,0,0,0,0,0,0
50,10,85,68,35,51.7,0,0,0,0,0,0
29.2,5.6,61,32,15,6.1,0,0,0,1,0,0
44.4,11.7,40,71,22,12.2,0,0,0,0,0,0
435,18.2,169,79,21,1,0,0,1,1,1,0
32,2.9,47,77,20,7.1,0,0,0,0,0,0
43.6,23.7,84,36,30,28.3,0,0,1,1,0,0
13.9,3.7,55,31,7,12.3,0,0,0,0,1,0
34.7,8.6,88,43,24,17.9,0,0,0,1,0,0
50,4.6,40,74,26,23.8,0,0,0,0,0,0
29.3,5.5,58,52,24,7.6,0,0,0,0,0,0
46.3,9.6,53,43,40,17.8,0,0,0,0,0,0
1833,0.3,38,45,28,4,0,0,1,0,0,0
22.8,8.6,30,73,3,15.1,0,0,0,1,0,0
24.3,1.9,86,62,15,20,0,0,0,0,0,0
40.9,22.5,95,41,13,34.4,0,0,0,0,0,0
10,7.6,30,80,18,43.6,0,0,0,1,0,0
24.5,11.6,35,55,9,34,0,0,0,0,0,0
438,20.3,579,65,38,3,0,0,0,0,0,1
28.5,21.5,30,53,6,41.5,0,0,0,0,0,0
32.9,0.6,95,68,27,36,0,0,0,0,0,0
408,11.6,92,33,21,6,0,0,0,0,0,1
42.4,16.7,57,33,37,37.8,0,0,0,0,0,0
40.8,23.3,42,39,18,25.9,0,0,0,0,0,0
904,5.3,1385,80,29,3,0,0,0,0,0,0
