缂栧彿,鍙戠敓鏃堕棿,鍖哄煙,elevation,slope,waterDistance,vegetationCoverage,rainfall,duration,鏈€澶у皬鏃堕洦寮?mm/h),rockType,landslide,debris_flow,barrier_lake,torrential_flood,water_logging
60,2018/10/18,临潼区骊山,594,39.4,294,30,24,1,13.3,2,0,1,0,0,0
61,2017/5/19,鄠邑区涝峪,997,20,843,40,3,1.2,13.7,3,1,0,1,0,0
64,2020/9/5,临潼区斜口,553,50,717,30,6,0.7,40,2,1,0,0,0,0
66,2018/7/22,长安区太乙宫,2285,27.1,1257,92,0,0.7,14.6,0,0,0,0,0,0
67,2018/7/21,蓝田县蓝关,2259,38.8,36,67,30,1,12.3,5,1,1,1,0,0
68,2020/8/17,鄠邑区蒋村,1754,26,58,73,37,0.8,13,5,0,0,0,0,0
70,2022/7/30,灞桥区席王,617,17.1,11,39,6,0.6,8.8,1,0,0,0,0,0
71,2011/8/30,鄠邑区涝峪,1630,20,33,77,21,1.2,19.4,5,0,0,0,0,0
73,2017/9/2,临潼区代王,387,40.7,532,65,12,1.2,52.9,0,1,0,0,0,1
75,2013/7/26,临潼区零口,579,48.6,36,43,17,0.7,80,1,1,1,1,0,0
76,2011/9/13,周至县广济,2024,36.4,1248,88,23,0.6,14.3,5,1,0,0,0,0
79,2017/9/3,雁塔区杜城,354,19.4,327,38,11,0.9,52,0,0,1,0,0,0
81,2012/8/3,长安区沣峪,907,26.3,268,95,12,0.6,13.9,3,0,1,0,0,0
82,2023/6/16,未央区六村堡,960,24,304,50,37,0.8,18.6,1,1,0,0,0,0
85,2019/8/23,周至县王家河,838,38.3,469,40,21,1.1,11.7,3,0,0,0,0,0
86,2016/7/3,未央区六村堡,713,23.2,22,36,4,0.6,29.1,1,1,1,1,0,0
89,2022/7/31,蓝田县九间房,2066,22.4,58,90,8,1.1,9.8,0,0,1,0,0,0
90,2016/5/17,鄠邑区甘河,1843,46.4,357,40,34,1,30.7,5,0,1,0,0,0
91,2018/8/4,鄠邑区涝峪,2433,20,96,94,14,0.6,22.6,5,0,0,0,0,0
94,2021/10/1,长安区沣峪,1615,41.6,359,71,24,1.2,15,2,0,1,1,0,0
95,2019/10/25,长安区引镇,1334,36.8,0,51,22,1.2,29.3,3,0,0,0,0,0
96,2020/5/17,鄠邑区玉蝉,1159,41,233,80,20,1.2,7.8,5,0,1,1,0,0
97,2021/11/28,长安区太乙宫,836,31.4,107,95,9,0.7,11.1,3,0,1,1,0,0
99,2022/7/4,周至县马召,1196,50,578,68,19,0.6,30.4,3,1,0,1,0,0
102,2016/8/3,临潼区斜口,992,33.7,0,33,9,0.7,28.1,2,0,1,0,0,0
105,2021/8/20,蓝田县九间房,1735,28,130,95,10,0.6,23.5,0,0,1,0,0,0
107,2023/9/15,临潼区骊山,306,40.5,324,55,38,1.1,26.6,2,0,1,0,0,1
109,2017/7/9,周至县广济,1723,39.9,22,69,14,1.1,21.5,4,1,1,1,0,0
110,2022/9/24,周至县板房子,1315,42,211,80,24,0.6,19.3,4,0,0,0,0,0
111,2013/7/2,鄠邑区玉蝉,1731,21.9,269,81,30,1,8.7,0,0,0,0,0,0
112,2012/9/26,灞桥区白鹿塬,777,17.2,1066,30,35,0.7,22.1,1,1,0,0,0,0
113,2018/8/20,鄠邑区蒋村,1637,43.5,317,95,31,1.1,7.1,5,0,0,0,0,0
115,2010/8/25,长安区蒿沟,2107,31.6,11,62,32,0.8,16.1,0,0,0,0,0,0
118,2020/7/18,蓝田县九间房,2117,38.2,45,40,34,0.6,17,5,1,1,0,0,0
119,2014/8/15,长安区沣峪,2016,29.8,546,66,29,0.9,17.8,2,0,0,0,0,0
121,2022/9/9,长安区引镇,2433,21.5,330,40,35,0.8,8.8,2,1,1,1,0,0
124,2014/8/29,蓝田县汤峪,811,35.7,85,53,1,1,16.5,0,1,1,0,0,0
125,2020/9/13,临潼区骊山,918,33,785,48,15,0.9,55,2,0,1,0,0,0
126,2020/7/29,临潼区零口,590,34.2,261,51,37,1.2,9.1,1,1,1,1,0,0
127,2021/5/10,临潼区斜口,458,30.2,251,45,13,0.6,28.4,0,1,1,1,0,0
128,2020/8/13,鄠邑区蒋村,1941,35.5,217,95,30,1,12.8,4,0,0,0,0,0
130,2010/8/3,未央区未央宫,972,30.7,73,38,10,0.6,55.4,1,0,1,1,0,0
131,2011/8/3,鄠邑区甘河,2481,23.5,379,40,17,0.6,7.5,5,0,0,0,0,0
132,2023/7/4,长安区引镇,1152,21.9,137,83,24,0.6,23,0,0,1,0,0,0
134,2023/9/20,长安区小峪,2265,27.1,230,81,35,0.8,9.6,0,0,0,0,0,0
135,2013/9/3,雁塔区曲江,536,16.2,334,41,3,0.9,18.8,0,0,0,0,0,0
136,2022/6/14,长安区沣峪,2486,50,92,53,8,0.6,34.1,2,0,0,0,0,1
137,2013/8/18,鄠邑区蒋村,2242,22.2,463,88,3,1.2,11.7,3,0,0,0,0,0
142,2012/12/9,长安区子午峪,2152,32.3,458,47,18,0.7,41.7,3,0,0,0,0,0
144,2023/7/7,灞桥区席王,897,14.1,996,33,40,1,12.5,1,0,1,1,0,1
146,2016/8/21,周至县广济,1345,44.3,194,61,29,0.6,22.6,4,1,0,0,0,0
148,2021/8/23,鄠邑区甘河,1266,41.4,34,95,34,0.6,12.5,3,0,0,0,0,0
150,2014/6/5,灞桥区洪庆,651,22.7,21,30,34,1,13,1,1,1,0,0,0
151,2011/12/3,长安区小峪,2205,33.3,964,40,40,0.6,24.4,3,0,0,0,0,0
153,2018/8/18,雁塔区曲江,713,21.1,206,37,10,0.8,5.6,1,0,0,0,0,0
154,2023/7/8,灞桥区白鹿塬,537,23.4,449,30,20,0.8,21.1,1,0,1,0,0,0
155,2020/9/18,蓝田县九间房,2230,39,234,80,11,0.8,58.7,0,0,1,0,0,0
156,2016/9/12,鄠邑区涝峪,1951,25.5,245,51,36,0.7,14,3,0,0,0,0,0
158,2019/9/22,临潼区斜口,313,41.6,340,54,30,0.7,23.9,1,1,1,1,0,0
159,2019/9/24,蓝田县玉川,1977,27.5,149,84,24,0.7,10,5,0,0,0,0,0
161,2021/8/28,蓝田县九间房,2142,32.3,24,54,9,0.9,19.3,2,1,1,0,0,0
162,2013/8/30,蓝田县葛牌,2006,46.8,81,41,23,1.1,35.3,3,0,1,1,0,0
164,2011/7/3,长安区沣峪,2448,37.8,264,76,33,1,28.2,0,0,1,1,0,0
166,2021/8/25,临潼区斜口,963,38.8,192,34,24,1.2,40,2,1,1,1,0,0
167,2015/9/12,长安区引镇,2051,20,128,95,17,0.9,19,0,0,0,0,0,0
168,2016/8/21,长安区太乙宫,1291,39.3,205,95,2,1.2,13.8,0,0,1,0,0,0
169,2012/7/25,雁塔区杜城,744,16.3,570,38,11,1,23.3,0,1,0,1,0,0
170,2010/9/2,长安区子午峪,997,36.2,563,72,16,0.8,7.5,0,0,0,0,0,0
171,2017/7/6,临潼区代王,949,32.9,1146,30,10,0.8,17,1,0,1,1,0,0
172,2017/9/8,未央区谭家,927,18.2,180,48,2,1.1,23.1,1,0,0,0,0,0
174,2017/7/23,鄠邑区蒋村,1037,25.2,357,83,35,0.6,25.5,4,0,0,0,0,0
176,2022/9/2,长安区小峪,1925,34.6,1170,89,15,0.9,27.6,2,1,0,0,0,0
179,2015/8/17,临潼区斜口,950,25.3,557,30,39,1.1,15,1,0,0,0,0,0
181,2016/10/9,临潼区代王,506,38.3,333,36,15,0.6,18.2,1,1,1,1,0,0
182,2023/7/31,长安区引镇,1395,43.8,5,90,28,1.2,14.5,2,0,1,0,0,0
183,2022/9/7,鄠邑区祖庵,1896,42.1,109,90,21,1.1,16.1,4,1,1,0,0,0
185,2016/12/16,蓝田县汤峪,1680,24.8,101,40,18,1.1,43.3,5,0,1,0,0,0
188,2022/7/3,灞桥区洪庆,493,20.2,95,45,28,0.6,26.2,1,0,1,0,0,0
193,2013/4/18,蓝田县汤峪,2147,28.3,138,40,6,0.7,19.4,3,0,1,0,0,0
194,2018/5/7,周至县板房子,904,41.5,274,93,14,1.1,38.2,0,1,1,1,0,0
195,2022/9/6,临潼区斜口,649,21.4,200,63,15,1,11.2,2,0,0,0,0,0
199,2015/8/1,长安区蒿沟,2448,35.9,45,40,4,0.9,26.4,3,0,1,1,0,0
200,2020/3/10,周至县厚畛子,1061,34.1,423,67,32,0.7,21.5,5,1,0,1,0,0
205,2018/9/14,长安区引镇,2405,35.6,48,53,21,0.8,60,2,1,1,0,0,0
206,2010/7/30,临潼区代王,698,45.1,279,30,0,1.1,40,0,0,0,0,0,0
209,2014/9/13,临潼区骊山,487,44.5,561,51,29,0.6,42,2,0,0,0,0,1
210,2012/5/8,长安区沣峪,987,21.9,258,76,10,1.2,41.1,2,1,1,1,0,0
211,2017/9/15,蓝田县玉川,2113,34.4,99,82,9,1,13.6,5,1,1,1,0,0
212,2014/12/19,周至县广济,2136,25.1,428,81,28,0.6,17.6,3,0,1,0,0,0
214,2011/6/18,临潼区斜口,938,47.5,17,30,26,0.6,18.1,2,1,1,1,0,0
215,2018/9/6,蓝田县葛牌,1688,33.6,250,69,3,0.6,40,0,1,0,1,0,0
217,2010/9/24,临潼区骊山,751,26.6,33,63,14,1,20,1,0,1,0,0,1
219,2010/10/4,灞桥区狄寨,472,19.5,801,30,34,0.6,32.7,1,0,0,0,0,0
220,2022/4/25,临潼区骊山,353,36.2,218,60,35,1,35.3,1,1,1,0,0,0
221,2015/8/17,雁塔区杜城,835,23.1,13,49,37,0.7,26.2,0,0,1,1,0,0
223,2023/7/12,长安区子午峪,1354,47.4,326,81,32,1.2,15.9,0,0,1,1,0,0
224,2022/7/22,长安区沣峪,1415,44.2,20,40,6,1.1,31.4,0,0,1,0,0,1
227,2017/10/22,周至县板房子,1358,36.3,351,64,7,0.8,30.8,0,1,1,1,0,0
228,2022/9/26,灞桥区狄寨,752,23.3,429,44,9,0.6,20,1,0,1,0,0,0
230,2012/8/23,长安区子午峪,1685,38.7,4,62,30,1,10.7,3,1,1,1,0,1
231,2013/9/15,蓝田县九间房,2250,32.5,330,74,15,0.8,13.8,2,1,1,0,0,0
232,2020/7/21,蓝田县蓝关,1671,33.3,565,95,19,0.8,5.7,2,0,0,0,0,0
234,2010/7/18,高陵区鹿苑,992,16.6,133,30,15,1,36.4,4,0,1,0,0,0
235,2018/7/5,长安区子午峪,2224,38.5,76,40,25,1.1,7.3,0,0,1,1,0,0
239,2018/7/10,蓝田县汤峪,2438,36.1,109,40,14,0.9,9.6,0,0,1,0,0,0
240,2016/9/26,蓝田县汤峪,1501,41.6,511,66,12,0.7,13.1,3,0,0,0,0,0
242,2014/9/5,长安区沣峪,2014,41.3,213,68,26,0.8,24,2,1,0,1,0,0
243,2016/10/26,灞桥区白鹿塬,937,29,127,38,34,0.8,25.6,1,0,1,0,0,0
246,2020/7/11,未央区六村堡,959,26.9,339,30,37,0.6,27.1,1,0,1,0,0,0
247,2011/10/16,高陵区鹿苑,478,20.3,102,30,6,1.1,22,1,1,0,0,0,0
249,2023/8/23,周至县板房子,2300,44.2,32,40,21,0.6,20,3,0,1,0,0,0
251,2012/8/16,鄠邑区涝峪,1385,29.4,351,44,4,0.6,21.1,4,0,1,0,0,0
252,2012/9/20,长安区沣峪,2237,29.2,308,56,9,1,12,2,0,1,1,0,0
253,2020/8/28,长安区引镇,2275,49.1,880,54,34,0.7,33,2,0,0,0,0,0
254,2013/2/7,蓝田县葛牌,1987,48.6,842,67,10,0.6,13.5,0,1,0,0,0,0
261,2017/8/4,蓝田县九间房,1952,31.1,319,95,5,1.2,37.4,3,0,1,0,0,0
263,2019/7/7,蓝田县葛牌,1680,44.9,32,94,22,1.2,15.4,2,1,0,0,0,0
266,2016/7/23,蓝田县汤峪,1950,29.1,965,53,36,1,40,2,0,0,0,0,0
267,2019/8/8,灞桥区白鹿塬,748,16.9,237,30,23,0.8,16.2,1,1,0,0,0,0
268,2022/8/5,临潼区零口,750,34.6,69,30,36,0.6,32,2,1,1,1,0,0
269,2014/8/11,灞桥区洪庆,679,21.7,358,34,28,1.1,25.3,1,1,0,1,0,0
270,2022/8/19,临潼区代王,728,29.6,199,41,6,1.2,30,2,1,0,0,0,0
272,2017/9/27,灞桥区白鹿塬,943,28.8,321,36,16,0.6,14,1,1,0,0,0,0
273,2018/8/4,临潼区骊山,549,40.3,238,30,20,0.6,8.1,2,1,1,1,0,0
275,2017/9/8,蓝田县蓝关,1863,21.4,275,78,17,1.1,22.2,3,0,1,0,0,0
276,2023/8/17,蓝田县葛牌,1304,26.3,92,86,18,0.9,14,3,0,0,0,0,0
277,2013/7/7,蓝田县蓝关,1798,27.4,450,49,4,0.9,12.8,2,0,1,0,0,0
279,2020/10/24,蓝田县九间房,1254,44.3,1500,71,23,1,12.8,2,0,0,0,0,0
280,2022/10/27,蓝田县汤峪,2478,39.9,109,50,2,0.8,22.1,2,1,1,1,0,0
285,2010/9/15,蓝田县玉川,1205,50,545,95,40,0.8,9,5,0,0,0,0,0
286,2021/9/8,临潼区代王,521,36.9,921,35,31,0.9,18.1,1,1,1,1,0,0
287,2020/5/22,灞桥区白鹿塬,328,18.5,165,55,21,1,13.7,1,0,0,0,0,1
288,2017/10/16,周至县广济,2038,42.2,1500,40,10,1.1,19,5,1,0,0,0,1
289,2014/8/30,长安区沣峪,1179,37.7,834,81,2,1.1,50,2,0,0,0,0,0
291,2016/6/28,周至县王家河,1436,41.8,51,75,39,1,40,3,0,0,0,0,1
292,2021/1/30,未央区未央宫,364,10.6,518,51,13,0.6,6.7,1,0,0,0,0,0
295,2023/8/31,周至县马召,2374,35.8,98,50,23,1.2,23.1,0,1,1,1,0,0
296,2015/8/2,雁塔区电子城,907,14.5,141,54,0,0.6,15.7,1,0,0,0,0,0
297,2018/6/9,蓝田县葛牌,1524,38.7,622,40,12,0.6,14.5,2,1,1,0,0,0
299,2022/9/7,长安区小峪,955,36.5,429,64,8,1.2,10,0,0,1,0,0,0
300,2014/6/30,蓝田县九间房,2390,32.1,312,65,16,1.2,16.7,0,0,1,0,0,0
301,2018/7/20,雁塔区曲江,666,15.5,53,44,20,0.7,16.8,0,1,0,1,0,0
303,2017/10/23,雁塔区杜城,641,20.5,448,63,4,1.1,14.8,1,0,0,0,0,0
306,2018/5/15,长安区小峪,2411,28,179,71,14,1.1,12.9,2,0,0,0,0,0
307,2012/7/3,蓝田县蓝关,2018,27.4,154,69,33,1,14.1,5,0,0,0,0,0
308,2010/9/22,长安区引镇,1469,36.2,597,93,9,1.1,20,2,1,0,1,0,0
309,2019/9/26,长安区小峪,1774,25.3,37,40,6,0.7,33.5,2,0,0,0,0,0
310,2011/9/21,临潼区零口,962,29.1,247,67,6,1.2,31.1,2,0,0,0,0,0
311,2014/8/9,未央区未央宫,813,18.8,403,43,11,0.8,44,1,1,1,0,0,1
317,2011/10/1,周至县厚畛子,1987,48.9,322,61,35,0.7,24.5,3,0,1,1,0,0
319,2016/9/24,周至县板房子,902,46,155,85,32,0.6,6.8,3,1,0,0,0,0
322,2020/7/10,长安区太乙宫,2139,33.6,169,67,33,0.9,62,0,0,1,0,0,0
324,2012/6/11,长安区引镇,1204,34,92,86,5,1.1,45,0,0,0,0,0,0
325,2012/1/21,灞桥区洪庆,955,19.6,266,37,29,1,36.9,1,0,1,0,0,0
328,2022/8/10,蓝田县玉川,964,33.8,428,76,10,0.8,7.2,0,1,0,0,0,0
329,2013/5/30,周至县王家河,1270,28.1,487,79,22,0.7,16.7,3,0,0,0,0,0
330,2018/10/20,灞桥区席王,687,16,33,47,29,0.9,26.7,1,0,1,0,0,0
331,2013/8/19,长安区引镇,1982,42.1,603,89,9,1.1,6.9,3,1,0,1,0,0
334,2011/7/11,阎良区新兴,494,25.9,271,30,20,0.8,11.5,4,0,0,0,0,1
335,2021/7/10,蓝田县汤峪,1644,28.9,325,68,34,0.9,16.1,5,1,0,1,0,1
338,2017/9/14,临潼区斜口,613,20,157,58,6,0.9,16.7,1,0,0,0,0,0
339,2010/9/13,灞桥区白鹿塬,829,12.3,424,51,10,0.7,27.8,1,0,1,1,0,0
340,2010/9/13,临潼区骊山,616,34.4,126,30,26,0.9,16.9,1,0,1,1,0,0
341,2012/1/17,鄠邑区涝峪,1933,35.2,571,61,8,0.9,20,0,1,0,0,0,0
342,2015/8/2,鄠邑区蒋村,1307,30.7,196,85,8,0.8,22,4,0,1,1,0,0
343,2013/5/14,周至县板房子,857,20,201,60,29,1,8.5,3,0,0,0,0,0
344,2014/9/27,长安区小峪,1011,43.3,619,69,18,1,15.4,2,1,0,1,0,0
346,2013/8/24,长安区沣峪,2374,34.8,21,87,37,1.2,12.6,2,0,0,0,0,0
348,2018/8/12,灞桥区洪庆,951,23.5,6,51,19,0.7,8.5,1,1,0,0,0,0
349,2020/8/28,雁塔区电子城,514,17.1,468,80,14,0.8,21.4,1,0,0,0,0,0
352,2010/7/12,周至县厚畛子,1729,35.9,359,95,28,1.1,23,4,0,1,1,0,0
355,2022/6/1,蓝田县九间房,1398,27.1,277,40,18,0.8,26.7,3,0,1,0,0,0
356,2016/8/9,未央区六村堡,840,16.6,174,39,2,1.2,22.4,1,1,0,0,0,0
361,2018/12/28,蓝田县蓝关,1816,20,120,87,27,1,20.9,2,0,1,0,0,0
363,2018/7/8,灞桥区狄寨,780,26.9,7,33,35,1.1,20,1,0,1,0,0,0
364,2011/5/15,蓝田县葛牌,1612,41.5,23,79,38,1,24.6,2,0,0,0,0,0
366,2021/7/27,长安区引镇,1949,36.3,45,61,37,1.1,80,2,1,0,0,0,1
368,2016/8/27,鄠邑区玉蝉,2289,37.1,21,95,19,0.9,37.6,5,0,1,0,0,1
369,2018/9/21,灞桥区白鹿塬,411,26.1,42,41,10,1.2,12.2,1,1,0,1,0,1
370,2015/7/13,蓝田县九间房,1633,33.6,851,61,34,0.8,40,2,1,1,1,0,0
372,2018/7/1,蓝田县葛牌,1280,44.8,94,55,4,0.8,46,3,0,0,0,0,0
374,2012/10/25,未央区未央宫,546,25.3,651,55,29,1,25.7,1,1,0,1,0,0
375,2020/6/3,雁塔区曲江,597,19.2,588,69,27,1.1,10.3,0,0,0,0,0,1
376,2016/7/7,高陵区鹿苑,786,19,140,30,14,0.8,21.1,1,1,1,1,0,0
377,2016/8/6,周至县王家河,1922,38.9,167,88,3,0.6,32.7,5,0,1,1,0,0
382,2020/5/1,周至县广济,2053,39.3,303,79,11,0.6,60,5,0,0,0,0,0
384,2015/4/27,灞桥区狄寨,546,18.9,95,67,36,0.9,23.5,1,0,1,0,0,0
386,2011/7/17,周至县板房子,2424,22.6,165,95,19,1.2,10.5,4,0,1,1,0,0
387,2010/8/16,蓝田县葛牌,929,36.6,412,57,10,0.9,64.4,3,1,1,1,0,0
388,2019/8/25,长安区子午峪,1411,20.5,518,58,37,1.1,13.8,0,0,0,0,0,0
389,2010/7/24,蓝田县汤峪,924,25.1,291,77,13,0.9,26.4,2,0,1,1,0,0
391,2019/7/1,未央区谭家,351,10.7,596,73,0,0.8,18.5,1,0,0,0,0,1
392,2018/8/23,蓝田县玉川,1373,42.4,707,77,28,1,24.8,5,0,0,0,0,0
394,2021/9/27,未央区未央宫,979,18.4,543,33,26,0.8,24.4,1,1,0,0,0,0
395,2011/8/10,长安区蒿沟,1904,47.6,210,94,19,0.8,33.3,2,0,0,0,0,0
398,2011/9/11,长安区蒿沟,1824,36.7,248,59,4,0.7,14.8,2,0,1,1,0,0
399,2010/7/10,阎良区关山,981,29.3,249,32,27,0.8,14,2,1,0,1,0,0
400,2019/8/2,周至县王家河,913,32.4,345,71,38,1,21.5,0,0,1,1,0,0
401,2020/8/21,周至县广济,1228,23.6,236,51,20,1,28.6,4,0,0,0,0,0
402,2013/9/17,长安区蒿沟,1617,37.6,647,86,1,1,26,0,1,1,1,0,0
403,2011/10/17,周至县厚畛子,2256,50,260,82,36,1,20,4,0,0,0,0,0
407,2019/7/26,鄠邑区祖庵,1984,34.1,73,80,28,1.1,14.5,5,0,1,1,0,0
409,2021/7/2,长安区小峪,1357,47.1,441,76,4,1,44.3,2,1,1,1,0,1
412,2017/8/10,灞桥区白鹿塬,846,18.8,110,71,39,0.6,18.4,1,0,1,0,0,0
414,2020/7/31,长安区蒿沟,1451,39.7,202,44,13,0.9,27.6,0,0,1,1,0,0
418,2019/7/26,周至县广济,1590,30.7,11,87,17,0.7,20.7,0,0,0,0,0,0
421,2017/5/18,雁塔区电子城,304,18.9,54,42,26,1,25.9,1,0,1,1,0,0
425,2022/7/31,周至县板房子,1135,30.3,3,90,11,0.6,27.5,0,0,0,0,0,0
428,2014/9/18,灞桥区白鹿塬,809,13.4,74,70,15,0.8,25.2,1,1,0,1,0,0
432,2010/9/22,未央区六村堡,802,15.2,9,40,10,0.7,34.3,1,1,0,0,0,1
433,2014/8/13,灞桥区洪庆,344,11.8,64,42,14,0.9,26.7,1,1,1,0,0,1
435,2010/8/28,阎良区关山,377,19.5,279,30,2,0.6,58,4,0,1,0,0,0
436,2010/10/7,蓝田县玉川,2356,31,872,85,22,0.6,48,2,1,0,0,0,0
437,2012/11/1,高陵区通远,686,18.4,515,58,14,0.9,23.3,4,0,1,1,0,0
443,2018/11/28,蓝田县玉川,1034,32.7,57,90,3,1.2,23.3,3,1,1,1,0,0
446,2014/9/18,蓝田县玉川,1314,44.7,236,52,30,1.1,30.7,5,0,1,1,0,0
447,2019/7/9,蓝田县玉川,1522,33.2,176,73,5,0.7,33.3,3,1,1,1,0,0
449,2012/9/28,周至县板房子,1527,43.3,722,75,19,0.6,42,3,0,0,0,0,0
450,2012/8/3,蓝田县九间房,1529,20,260,72,2,0.7,66.2,5,0,1,0,0,0
451,2013/6/25,长安区小峪,1263,34.3,187,60,9,1.2,14,0,1,1,0,0,0
453,2020/7/16,高陵区鹿苑,386,10,34,67,18,1.2,25.9,4,0,0,0,0,0
456,2012/8/31,蓝田县蓝关,1696,34,12,63,26,1.1,6.6,2,1,1,1,0,1
458,2019/9/6,蓝田县九间房,1849,28.9,320,57,28,1.2,40,0,1,0,0,0,0
459,2015/5/27,临潼区代王,997,26.4,833,30,10,0.7,13,0,0,0,0,0,0
460,2017/2/20,鄠邑区甘河,2125,24.2,173,64,39,0.6,40,4,0,1,0,0,0
461,2015/6/5,长安区引镇,2230,37.7,152,89,37,1,21.1,3,1,0,0,0,0
467,2016/10/4,鄠邑区蒋村,2452,29.1,874,61,34,0.6,22.4,0,0,0,0,0,0
468,2012/9/22,周至县广济,1932,27.7,66,78,2,1.1,10.8,5,0,1,0,0,0
470,2019/9/7,长安区沣峪,1746,33.3,481,80,11,1,37.3,0,1,1,1,0,0
474,2012/9/30,蓝田县蓝关,1852,33.6,508,40,7,1,40,3,1,1,1,0,0
475,2021/6/3,临潼区零口,692,49.6,6,61,15,0.7,36.7,0,1,1,1,0,0
478,2018/8/15,阎良区武屯,575,25.7,379,30,33,0.7,14.5,1,0,1,1,0,0
479,2012/8/18,长安区引镇,966,30,631,40,20,1.1,25,3,0,0,0,0,0
480,2019/7/28,长安区蒿沟,2105,47,9,95,38,0.6,18.7,3,0,1,0,0,0
482,2016/6/30,蓝田县汤峪,869,33.9,200,79,2,1,11.5,3,1,0,1,0,0
484,2019/8/24,未央区六村堡,731,27.1,169,56,39,1.1,20,1,0,0,0,0,1
485,2017/2/3,鄠邑区涝峪,938,27.4,346,64,34,1,41.8,5,0,0,0,0,0
488,2016/7/12,蓝田县九间房,1101,38.3,102,95,3,1.1,41.2,5,1,0,0,0,0
489,2023/8/14,长安区子午峪,1019,36.9,89,73,3,1.2,10.9,0,0,0,0,0,0
493,2013/10/17,鄠邑区蒋村,1013,43.9,486,62,8,1,21.1,3,0,0,0,0,0
496,2013/8/25,长安区蒿沟,2025,32.3,452,77,35,0.7,36.8,3,0,1,0,0,0
497,2017/10/30,周至县厚畛子,820,34.2,90,78,6,0.6,13.5,0,1,1,1,0,0
498,2022/9/6,周至县马召,902,41.1,69,80,3,0.8,15.6,4,1,0,1,0,0
500,2017/9/20,灞桥区洪庆,385,14.7,16,30,22,0.9,28,1,1,1,1,0,0
501,2011/9/11,长安区蒿沟,1953,47.1,361,68,2,0.7,5,3,0,0,0,0,1
