编号,发生时间,区域,elevation,slope,waterDistance,vegetationCoverage,rainfall,duration,最大小时雨强(mm/h),rockType,landslide,debris_flow,barrier_lake,torrential_flood,water_logging
61,2017/5/19,鄠邑区涝峪,997,20,843,40,59,8.6,13.7,3,1,0,1,0,0
62,2013/10/29,长安区太乙宫,1920,50,368,47,40,10.7,7.5,3,1,0,1,1,0
63,2022/5/31,周至县马召,1015,34.7,278,95,36,8,9,4,0,1,1,1,0
64,2020/9/5,临潼区斜口,553,50,717,30,38,1.9,40,2,1,0,0,0,0
65,2018/8/1,长安区小峪,1627,28,753,95,60,9,13.3,2,1,0,1,1,0
66,2018/7/22,长安区太乙宫,2285,27.1,1257,92,118,16.2,14.6,0,0,0,0,0,0
67,2018/7/21,蓝田县蓝关,2259,38.8,36,67,32,5.2,12.3,5,1,1,1,0,0
68,2020/8/17,鄠邑区蒋村,1754,26,58,73,30,4.6,13,5,0,0,0,0,0
69,2015/8/26,长安区太乙宫,2292,38.6,184,46,20,2.2,18.2,0,0,1,1,1,0
70,2022/7/30,灞桥区席王,617,17.1,11,39,21,4.8,8.8,1,0,0,0,0,0
71,2011/8/30,鄠邑区涝峪,1630,20,33,77,30,3.1,19.4,5,0,0,0,0,0
72,2016/9/28,临潼区斜口,690,42.6,323,70,25,3.4,14.7,2,1,0,1,1,0
73,2017/9/2,临潼区代王,387,40.7,532,65,45,1.7,52.9,0,1,0,0,0,1
74,2014/10/20,蓝田县玉川,1822,49.1,143,40,45,1.3,69.2,3,1,1,1,1,0
75,2013/7/26,临潼区零口,579,48.6,36,43,103,1.9,80,1,1,1,1,0,0
76,2011/9/13,周至县广济,2024,36.4,1248,88,20,2.8,14.3,5,1,0,0,0,0
77,2018/8/6,临潼区零口,898,27.8,395,30,104,8.6,24.2,2,0,1,0,1,1
78,2023/9/2,长安区子午峪,2186,44.1,61,51,30,4.9,12.2,3,1,1,1,1,0
79,2017/9/3,雁塔区杜城,354,19.4,327,38,26,1,52,0,0,1,0,0,0
80,2023/5/27,鄠邑区蒋村,1281,31.2,127,93,49,12.8,7.7,5,1,1,1,1,1
81,2012/8/3,长安区沣峪,907,26.3,268,95,32,4.6,13.9,3,0,1,0,0,0
82,2023/6/16,未央区六村堡,960,24,304,50,27,2.9,18.6,1,1,0,0,0,0
83,2016/4/17,长安区引镇,1780,31.9,192,81,28,2.5,22.4,0,0,0,0,1,1
84,2023/9/20,临潼区斜口,701,27.3,222,43,55,5.3,20.8,0,1,1,1,1,0
85,2019/8/23,周至县王家河,838,38.3,469,40,38,6.5,11.7,3,0,0,0,0,0
86,2016/7/3,未央区六村堡,713,23.2,22,36,16,1.1,29.1,1,1,1,1,0,0
87,2016/5/20,灞桥区狄寨,988,12.4,35,30,20,2.3,17.4,1,1,0,0,1,0
88,2017/7/4,蓝田县汤峪,860,39.5,1211,40,32,3.3,19.4,0,0,0,0,1,0
89,2022/7/31,蓝田县九间房,2066,22.4,58,90,24,4.9,9.8,0,0,1,0,0,0
90,2016/5/17,鄠邑区甘河,1843,46.4,357,40,23,1.5,30.7,5,0,1,0,0,0
91,2018/8/4,鄠邑区涝峪,2433,20,96,94,43,3.8,22.6,5,0,0,0,0,0
92,2011/9/24,蓝田县玉川,837,42.1,205,74,26,3,17.3,0,1,1,1,1,0
93,2017/10/13,周至县王家河,1148,36.2,326,60,36,10.2,7.1,0,0,1,1,1,0
94,2021/10/1,长安区沣峪,1615,41.6,359,71,24,3.2,15,2,0,1,1,0,0
95,2019/10/25,长安区引镇,1334,36.8,0,51,22,1.5,29.3,3,0,0,0,0,0
96,2020/5/17,鄠邑区玉蝉,1159,41,233,80,38,9.8,7.8,5,0,1,1,0,0
97,2021/11/28,长安区太乙宫,836,31.4,107,95,20,3.6,11.1,3,0,1,1,0,0
98,2020/8/18,未央区谭家,986,21.8,7,30,10,1,20,1,1,1,1,1,1
99,2022/7/4,周至县马召,1196,50,578,68,35,2.3,30.4,3,1,0,1,0,0
100,2012/6/17,阎良区新兴,739,23.7,170,30,29,2.6,22.3,2,0,0,0,1,0
101,2022/7/3,长安区沣峪,1592,39,191,95,31,1.5,41.3,0,0,1,1,1,0
102,2016/8/3,临潼区斜口,992,33.7,0,33,45,3.2,28.1,2,0,1,0,0,0
103,2014/9/21,鄠邑区玉蝉,1383,31.3,111,73,33,14.5,5,4,1,1,0,1,0
104,2022/7/25,未央区未央宫,401,17.5,715,43,18,1.9,18.9,1,1,0,1,1,0
105,2021/8/20,蓝田县九间房,1735,28,130,95,20,1.7,23.5,0,0,1,0,0,0
106,2023/8/26,临潼区斜口,405,46.2,10,53,24,3,16,2,1,0,1,1,0
107,2023/9/15,临潼区骊山,306,40.5,324,55,77,5.8,26.6,2,0,1,0,0,1
108,2021/8/13,周至县厚畛子,2066,26.7,468,61,79,10.3,15.3,3,1,1,1,1,0
109,2017/7/9,周至县广济,1723,39.9,22,69,57,5.3,21.5,4,1,1,1,0,0
110,2022/9/24,周至县板房子,1315,42,211,80,27,2.8,19.3,4,0,0,0,0,0
111,2013/7/2,鄠邑区玉蝉,1731,21.9,269,81,69,15.8,8.7,0,0,0,0,0,0
112,2012/9/26,灞桥区白鹿塬,777,17.2,1066,30,32,2.9,22.1,1,1,0,0,0,0
113,2018/8/20,鄠邑区蒋村,1637,43.5,317,95,20,5.6,7.1,5,0,0,0,0,0
114,2016/7/15,蓝田县蓝关,1833,47.3,23,50,20,1,40,5,1,1,1,1,0
115,2010/8/25,长安区蒿沟,2107,31.6,11,62,61,7.6,16.1,0,0,0,0,0,0
116,2021/10/27,长安区引镇,1133,45.4,18,95,34,5.3,12.8,3,0,0,0,1,0
117,2010/7/19,长安区子午峪,1289,34.4,152,94,30,3.1,19.4,3,1,1,1,1,0
118,2020/7/18,蓝田县九间房,2117,38.2,45,40,46,5.4,17,5,1,1,0,0,0
119,2014/8/15,长安区沣峪,2016,29.8,546,66,40,4.5,17.8,2,0,0,0,0,0
120,2017/3/25,灞桥区席王,300,25.3,73,30,30,2.6,23.1,1,1,0,1,1,0
121,2022/9/9,长安区引镇,2433,21.5,330,40,29,6.6,8.8,2,1,1,1,0,0
122,2017/9/30,鄠邑区玉蝉,2424,43.9,282,46,100,19.5,10.3,0,1,1,0,1,0
123,2012/8/12,长安区蒿沟,2090,48.1,290,87,34,6.7,10.1,0,0,0,0,1,0
124,2014/8/29,蓝田县汤峪,811,35.7,85,53,75,9.1,16.5,0,1,1,0,0,0
125,2020/9/13,临潼区骊山,918,33,785,48,44,1.6,55,2,0,1,0,0,0
126,2020/7/29,临潼区零口,590,34.2,261,51,35,7.7,9.1,1,1,1,1,0,0
127,2021/5/10,临潼区斜口,458,30.2,251,45,44,3.1,28.4,0,1,1,1,0,0
128,2020/8/13,鄠邑区蒋村,1941,35.5,217,95,41,6.4,12.8,4,0,0,0,0,0
129,2010/9/26,蓝田县玉川,2403,33,96,93,62,3.8,32.6,5,1,1,1,1,0
130,2010/8/3,未央区未央宫,972,30.7,73,38,36,1.3,55.4,1,0,1,1,0,0
131,2011/8/3,鄠邑区甘河,2481,23.5,379,40,44,11.7,7.5,5,0,0,0,0,0
132,2023/7/4,长安区引镇,1152,21.9,137,83,62,5.4,23,0,0,1,0,0,0
133,2021/9/27,鄠邑区玉蝉,1575,37.6,228,88,47,15.1,6.2,0,0,1,0,1,0
134,2023/9/20,长安区小峪,2265,27.1,230,81,23,4.8,9.6,0,0,0,0,0,0
135,2013/9/3,雁塔区曲江,536,16.2,334,41,15,1.6,18.8,0,0,0,0,0,0
136,2022/6/14,长安区沣峪,2486,50,92,53,29,1.7,34.1,2,0,0,0,0,1
137,2013/8/18,鄠邑区蒋村,2242,22.2,463,88,85,14.5,11.7,3,0,0,0,0,0
138,2023/8/24,鄠邑区玉蝉,2285,20,492,65,54,7.5,14.4,0,0,0,0,1,0
139,2013/7/18,鄠邑区甘河,2360,27.8,257,57,30,3.6,16.7,0,1,0,1,1,0
140,2022/9/21,长安区太乙宫,1716,34.1,8,87,34,1,68,3,0,0,0,1,0
141,2015/5/29,长安区子午峪,1953,37.3,315,40,70,7.7,18.2,2,1,1,1,1,0
142,2012/12/9,长安区子午峪,2152,32.3,458,47,25,1.2,41.7,3,0,0,0,0,0
143,2021/7/20,长安区太乙宫,1219,40,225,52,30,2.2,27.3,0,1,0,0,1,0
144,2023/7/7,灞桥区席王,897,14.1,996,33,40,6.4,12.5,1,0,1,1,0,1
145,2014/6/1,蓝田县汤峪,1041,25.4,20,84,50,2.3,43.5,2,0,0,0,1,0
146,2016/8/21,周至县广济,1345,44.3,194,61,69,6.1,22.6,4,1,0,0,0,0
147,2018/10/17,灞桥区狄寨,724,17,88,40,16,1.9,16.8,1,0,1,0,1,0
148,2021/8/23,鄠邑区甘河,1266,41.4,34,95,38,6.1,12.5,3,0,0,0,0,0
149,2012/9/24,长安区子午峪,947,44.8,401,40,20,1.1,36.4,0,1,1,1,1,0
150,2014/6/5,灞桥区洪庆,651,22.7,21,30,15,2.3,13,1,1,1,0,0,0
151,2011/12/3,长安区小峪,2205,33.3,964,40,22,1.8,24.4,3,0,0,0,0,0
152,2011/8/22,周至县王家河,959,41,321,86,20,1,40,0,0,1,0,1,0
153,2018/8/18,雁塔区曲江,713,21.1,206,37,17,6.1,5.6,1,0,0,0,0,0
154,2023/7/8,灞桥区白鹿塬,537,23.4,449,30,19,1.8,21.1,1,0,1,0,0,0
155,2020/9/18,蓝田县九间房,2230,39,234,80,44,1.5,58.7,0,0,1,0,0,0
156,2016/9/12,鄠邑区涝峪,1951,25.5,245,51,28,4,14,3,0,0,0,0,0
157,2019/6/2,蓝田县蓝关,1833,41.1,286,84,75,36.2,5,0,1,0,1,1,1
158,2019/9/22,临潼区斜口,313,41.6,340,54,61,5.1,23.9,1,1,1,1,0,0
159,2019/9/24,蓝田县玉川,1977,27.5,149,84,23,4.6,10,5,0,0,0,0,0
160,2016/5/7,周至县王家河,1325,30.4,386,95,28,12.6,5,0,0,1,1,1,0
161,2021/8/28,蓝田县九间房,2142,32.3,24,54,26,2.7,19.3,2,1,1,0,0,0
162,2013/8/30,蓝田县葛牌,2006,46.8,81,41,30,1.7,35.3,3,0,1,1,0,0
163,2015/6/4,周至县板房子,1870,43.5,38,81,28,1.3,43.1,3,1,0,1,1,0
164,2011/7/3,长安区沣峪,2448,37.8,264,76,48,3.4,28.2,0,0,1,1,0,0
165,2013/8/17,周至县马召,1503,24.6,198,56,80,5.6,28.6,4,0,1,0,1,0
166,2021/8/25,临潼区斜口,963,38.8,192,34,20,1,40,2,1,1,1,0,0
167,2015/9/12,长安区引镇,2051,20,128,95,37,3.9,19,0,0,0,0,0,0
168,2016/8/21,长安区太乙宫,1291,39.3,205,95,22,3.2,13.8,0,0,1,0,0,0
169,2012/7/25,雁塔区杜城,744,16.3,570,38,21,1.8,23.3,0,1,0,1,0,0
170,2010/9/2,长安区子午峪,997,36.2,563,72,30,8,7.5,0,0,0,0,0,0
171,2017/7/6,临潼区代王,949,32.9,1146,30,73,8.6,17,1,0,1,1,0,0
172,2017/9/8,未央区谭家,927,18.2,180,48,15,1.3,23.1,1,0,0,0,0,0
173,2013/5/23,临潼区斜口,477,50,29,30,63,4.1,30.7,1,1,1,1,1,0
174,2017/7/23,鄠邑区蒋村,1037,25.2,357,83,28,2.2,25.5,4,0,0,0,0,0
175,2014/6/28,临潼区零口,912,50,26,30,67,7.9,17,0,1,1,1,1,0
176,2022/9/2,长安区小峪,1925,34.6,1170,89,40,2.9,27.6,2,1,0,0,0,0
177,2021/11/29,蓝田县蓝关,2309,24.9,233,40,59,1.7,69.4,0,0,1,1,1,0
178,2012/8/12,蓝田县蓝关,1785,30.1,84,43,75,9.8,15.3,3,0,1,0,1,0
179,2015/8/17,临潼区斜口,950,25.3,557,30,21,2.8,15,1,0,0,0,0,0
180,2010/9/8,长安区引镇,1439,46,216,93,43,4.8,17.9,2,1,0,0,1,0
181,2016/10/9,临潼区代王,506,38.3,333,36,20,2.2,18.2,1,1,1,1,0,0
182,2023/7/31,长安区引镇,1395,43.8,5,90,32,4.4,14.5,2,0,1,0,0,0
183,2022/9/7,鄠邑区祖庵,1896,42.1,109,90,50,6.2,16.1,4,1,1,0,0,0
184,2023/5/9,长安区小峪,2199,49.7,100,95,21,1,42,0,0,1,1,1,0
185,2016/12/16,蓝田县汤峪,1680,24.8,101,40,26,1.2,43.3,5,0,1,0,0,0
186,2021/7/1,灞桥区狄寨,500,23.9,721,48,10,1.5,13.3,1,1,0,0,1,0
187,2021/7/14,临潼区斜口,958,33.9,280,34,48,2.7,35.6,0,0,1,1,1,0
188,2022/7/3,灞桥区洪庆,493,20.2,95,45,21,1.6,26.2,1,0,1,0,0,0
189,2012/10/28,周至县广济,1240,33.2,65,40,35,1.5,46.7,0,1,1,1,1,0
190,2023/1/17,蓝田县蓝关,1354,31.1,186,92,26,2.4,21.7,5,1,1,0,1,0
191,2017/7/5,蓝田县蓝关,2352,32.4,212,55,27,1.8,30,2,1,0,1,1,0
192,2021/7/19,周至县广济,1255,25.5,337,70,50,6.9,14.5,4,0,1,0,1,0
193,2013/4/18,蓝田县汤峪,2147,28.3,138,40,31,3.2,19.4,3,0,1,0,0,0
194,2018/5/7,周至县板房子,904,41.5,274,93,42,2.2,38.2,0,1,1,1,0,0
195,2022/9/6,临潼区斜口,649,21.4,200,63,48,8.6,11.2,2,0,0,0,0,0
196,2011/9/4,灞桥区席王,674,22.1,235,30,48,2.1,45.7,1,1,1,1,1,0
197,2016/9/8,未央区六村堡,971,26.5,367,30,17,1,34,1,0,1,1,1,0
198,2021/3/18,鄠邑区蒋村,2250,31.6,146,55,64,13.3,9.6,0,0,1,1,1,0
199,2015/8/1,长安区蒿沟,2448,35.9,45,40,33,2.5,26.4,3,0,1,1,0,0
200,2020/3/10,周至县厚畛子,1061,34.1,423,67,28,2.6,21.5,5,1,0,1,0,0
201,2013/10/18,临潼区斜口,668,36.8,28,30,124,4.2,59,0,1,1,1,1,1
202,2014/6/27,临潼区代王,853,39.3,59,71,48,2.3,41.7,1,1,0,0,1,0
203,2022/8/3,长安区沣峪,1665,36.3,201,68,52,4,26,0,1,1,1,1,0
204,2010/4/5,鄠邑区涝峪,2482,24.8,43,89,72,4.8,30,3,0,1,1,1,0
205,2018/9/14,长安区引镇,2405,35.6,48,53,33,1.1,60,2,1,1,0,0,0
206,2010/7/30,临潼区代王,698,45.1,279,30,20,1,40,0,0,0,0,0,0
207,2013/8/7,阎良区新兴,347,14.9,112,30,14,1.5,18.7,1,0,1,1,1,1
208,2014/8/16,临潼区斜口,980,43.6,98,47,48,6.5,14.8,1,0,1,1,1,0
209,2014/9/13,临潼区骊山,487,44.5,561,51,21,1,42,2,0,0,0,0,1
210,2012/5/8,长安区沣峪,987,21.9,258,76,39,1.9,41.1,2,1,1,1,0,0
211,2017/9/15,蓝田县玉川,2113,34.4,99,82,30,4.4,13.6,5,1,1,1,0,0
212,2014/12/19,周至县广济,2136,25.1,428,81,22,2.5,17.6,3,0,1,0,0,0
213,2011/9/14,周至县王家河,1811,45.3,108,50,20,1.3,30.8,5,0,1,1,1,0
214,2011/6/18,临潼区斜口,938,47.5,17,30,28,3.1,18.1,2,1,1,1,0,0
215,2018/9/6,蓝田县葛牌,1688,33.6,250,69,20,1,40,0,1,0,1,0,0
216,2012/10/5,长安区子午峪,1270,20,300,95,43,2.6,33.1,0,0,1,1,1,1
217,2010/9/24,临潼区骊山,751,26.6,33,63,36,3.6,20,1,0,1,0,0,1
218,2011/8/14,临潼区骊山,754,39.8,438,64,28,9.9,5.7,2,0,0,0,1,0
219,2010/10/4,灞桥区狄寨,472,19.5,801,30,18,1.1,32.7,1,0,0,0,0,0
220,2022/4/25,临潼区骊山,353,36.2,218,60,30,1.7,35.3,1,1,1,0,0,0
221,2015/8/17,雁塔区杜城,835,23.1,13,49,38,2.9,26.2,0,0,1,1,0,0
222,2015/10/21,长安区蒿沟,974,32.3,494,78,25,2.7,18.5,3,0,1,0,1,0
223,2023/7/12,长安区子午峪,1354,47.4,326,81,35,4.4,15.9,0,0,1,1,0,0
224,2022/7/22,长安区沣峪,1415,44.2,20,40,22,1.4,31.4,0,0,1,0,0,1
225,2018/11/23,临潼区零口,907,34.7,316,30,49,11.7,8.4,0,0,0,0,1,1
226,2018/10/10,蓝田县葛牌,2162,37.6,303,52,22,1,44,2,1,0,1,1,0
227,2017/10/22,周至县板房子,1358,36.3,351,64,20,1.3,30.8,0,1,1,1,0,0
228,2022/9/26,灞桥区狄寨,752,23.3,429,44,12,1.2,20,1,0,1,0,0,0
229,2021/10/1,长安区蒿沟,1130,44,473,84,44,1.7,51.8,0,0,1,1,1,0
230,2012/8/23,长安区子午峪,1685,38.7,4,62,64,12,10.7,3,1,1,1,0,1
231,2013/9/15,蓝田县九间房,2250,32.5,330,74,20,2.9,13.8,2,1,1,0,0,0
232,2020/7/21,蓝田县蓝关,1671,33.3,565,95,38,13.4,5.7,2,0,0,0,0,0
233,2018/5/22,周至县马召,1466,33,929,92,20,1.9,21.1,4,0,0,0,1,0
234,2010/7/18,高陵区鹿苑,992,16.6,133,30,20,1.1,36.4,4,0,1,0,0,0
235,2018/7/5,长安区子午峪,2224,38.5,76,40,20,5.5,7.3,0,0,1,1,0,0
236,2012/7/19,长安区子午峪,998,33.5,455,82,41,1.9,43.2,3,0,0,0,1,0
237,2012/6/16,未央区未央宫,793,20.1,158,58,29,4.4,13.2,1,0,0,0,1,1
238,2018/6/17,鄠邑区涝峪,2071,44.5,103,66,46,3.1,29.7,5,1,1,1,1,0
239,2018/7/10,蓝田县汤峪,2438,36.1,109,40,23,4.8,9.6,0,0,1,0,0,0
240,2016/9/26,蓝田县汤峪,1501,41.6,511,66,21,3.2,13.1,3,0,0,0,0,0
241,2017/8/17,周至县厚畛子,1737,29,371,44,25,1,50,0,0,1,1,1,0
242,2014/9/5,长安区沣峪,2014,41.3,213,68,30,2.5,24,2,1,0,1,0,0
243,2016/10/26,灞桥区白鹿塬,937,29,127,38,23,1.8,25.6,1,0,1,0,0,0
244,2022/9/23,鄠邑区甘河,1762,45.3,147,52,28,3,18.7,4,0,1,1,1,0
245,2015/8/25,鄠邑区祖庵,1991,27.8,16,95,34,3.9,17.4,4,0,1,1,1,0
246,2020/7/11,未央区六村堡,959,26.9,339,30,19,1.4,27.1,1,0,1,0,0,0
247,2011/10/16,高陵区鹿苑,478,20.3,102,30,11,1,22,1,1,0,0,0,0
248,2020/5/1,蓝田县汤峪,2312,47.3,347,40,31,7.1,8.7,0,1,1,1,1,0
249,2023/8/23,周至县板房子,2300,44.2,32,40,21,2.1,20,3,0,1,0,0,0
250,2015/6/26,长安区太乙宫,2141,28.9,243,75,20,2.2,18.2,0,0,1,0,1,0
251,2012/8/16,鄠邑区涝峪,1385,29.4,351,44,20,1.9,21.1,4,0,1,0,0,0
252,2012/9/20,长安区沣峪,2237,29.2,308,56,69,11.5,12,2,0,1,1,0,0
253,2020/8/28,长安区引镇,2275,49.1,880,54,38,2.3,33,2,0,0,0,0,0
254,2013/2/7,蓝田县葛牌,1987,48.6,842,67,21,3.1,13.5,0,1,0,0,0,0
255,2020/8/22,蓝田县蓝关,2330,26.1,26,75,38,4.5,16.9,0,0,0,0,1,0
256,2011/9/20,蓝田县蓝关,838,22.8,67,88,44,2.9,30.3,3,0,0,0,1,0
257,2017/7/11,周至县厚畛子,1762,28,73,92,75,6.4,23.4,3,0,1,1,1,0
258,2022/8/24,蓝田县九间房,1669,42.1,407,80,78,8.6,18.1,2,0,1,1,1,0
259,2010/8/28,周至县广济,1348,41.1,329,83,68,4.7,28.9,0,1,1,1,1,0
260,2021/8/11,雁塔区曲江,391,28.6,163,63,10,2.7,7.4,1,1,0,1,1,0
261,2017/8/4,蓝田县九间房,1952,31.1,319,95,43,2.3,37.4,3,0,1,0,0,0
262,2022/10/15,灞桥区白鹿塬,368,29.3,88,30,25,3.5,14.3,1,0,1,0,1,0
263,2019/7/7,蓝田县葛牌,1680,44.9,32,94,20,2.6,15.4,2,1,0,0,0,0
264,2016/9/16,灞桥区白鹿塬,756,24.2,52,30,21,6,7,1,1,1,1,1,1
265,2010/6/30,长安区蒿沟,1034,39.6,39,71,29,2.4,24.2,2,1,1,1,1,0
266,2016/7/23,蓝田县汤峪,1950,29.1,965,53,20,1,40,2,0,0,0,0,0
267,2019/8/8,灞桥区白鹿塬,748,16.9,237,30,43,5.3,16.2,1,1,0,0,0,0
268,2022/8/5,临潼区零口,750,34.6,69,30,32,2,32,2,1,1,1,0,0
269,2014/8/11,灞桥区洪庆,679,21.7,358,34,19,1.5,25.3,1,1,0,1,0,0
270,2022/8/19,临潼区代王,728,29.6,199,41,21,1.4,30,2,1,0,0,0,0
271,2015/4/12,长安区蒿沟,1091,36.2,1200,84,23,2.2,20.9,3,1,1,1,1,0
272,2017/9/27,灞桥区白鹿塬,943,28.8,321,36,47,6.7,14,1,1,0,0,0,0
273,2018/8/4,临潼区骊山,549,40.3,238,30,22,5.4,8.1,2,1,1,1,0,0
274,2021/9/6,灞桥区洪庆,700,23.2,170,30,32,2,32,1,0,0,0,1,0
275,2017/9/8,蓝田县蓝关,1863,21.4,275,78,51,4.6,22.2,3,0,1,0,0,0
276,2023/8/17,蓝田县葛牌,1304,26.3,92,86,44,6.3,14,3,0,0,0,0,0
277,2013/7/7,蓝田县蓝关,1798,27.4,450,49,64,10,12.8,2,0,1,0,0,0
278,2017/6/1,周至县王家河,1333,41.5,10,95,42,2,42,5,1,1,1,1,0
279,2020/10/24,蓝田县九间房,1254,44.3,1500,71,39,6.1,12.8,2,0,0,0,0,0
280,2022/10/27,蓝田县汤峪,2478,39.9,109,50,32,2.9,22.1,2,1,1,1,0,0
